"Block_Size"	"Sync"	"File_Size"	"Wall_Clock_Time"	"User_Time"	"Sys_Time"
512	-	67108864	3.27	0.19	3.08
1024	-	67108864	1.64	0.03	1.61
2048	-	67108864	0.91	0.05	0.86
4096	-	67108864	0.53	0.03	0.50
8192	-	67108864	0.33	0.06	0.27
16384	-	67108864	0.22	0.01	0.20
32768	-	67108864	0.17	0.00	0.17
65536	-	67108864	0.15	0.01	0.14
512	s	67108864	29.47	0.44	29.03
1024	s	67108864	16.36	0.30	16.06
2048	s	67108864	6.73	0.17	6.56
4096	s	67108864	3.53	0.03	3.50
8192	s	67108864	1.75	0.03	1.72
16384	s	67108864	1.05	0.01	1.03
32768	s	67108864	0.64	0.01	0.62
65536	s	67108864	0.33	0.01	0.31
512	-	67108864	2.95	0.22	2.73
1024	-	67108864	1.64	0.09	1.55
2048	-	67108864	0.95	0.01	0.94
4096	-	67108864	0.53	0.03	0.50
8192	-	67108864	0.37	0.03	0.34
16384	-	67108864	0.23	0.01	0.22
32768	-	67108864	0.16	0.00	0.16
65536	-	67108864	0.14	0.01	0.12
512	s	67108864	25.16	0.41	24.75
1024	s	67108864	13.05	0.20	12.84
2048	s	67108864	7.34	0.17	7.17
4096	s	67108864	3.47	0.05	3.42
8192	s	67108864	1.84	0.00	1.84
16384	s	67108864	1.05	0.00	1.05
32768	s	67108864	0.62	0.03	0.59
65536	s	67108864	0.39	0.01	0.38
512	-	67108864	2.92	0.17	2.75
1024	-	67108864	1.61	0.11	1.50
2048	-	67108864	0.92	0.06	0.86
4096	-	67108864	0.55	0.03	0.52
8192	-	67108864	0.33	0.05	0.28
16384	-	67108864	0.25	0.01	0.23
32768	-	67108864	0.22	0.00	0.22
65536	-	67108864	0.16	0.00	0.16
512	s	67108864	26.25	0.27	25.98
1024	s	67108864	13.14	0.28	12.86
2048	s	67108864	6.45	0.06	6.39
4096	s	67108864	3.47	0.08	3.39
8192	s	67108864	1.75	0.00	1.75
16384	s	67108864	1.03	0.00	1.03
32768	s	67108864	0.59	0.00	0.59
65536	s	67108864	0.36	0.00	0.36
512	-	67108864	3.00	0.14	2.86
1024	-	67108864	1.64	0.08	1.56
2048	-	67108864	0.91	0.06	0.84
4096	-	67108864	0.53	0.03	0.50
8192	-	67108864	0.34	0.01	0.33
16384	-	67108864	0.22	0.00	0.22
32768	-	67108864	0.19	0.01	0.17
65536	-	67108864	0.14	0.00	0.14
512	s	67108864	25.76	0.30	25.47
1024	s	67108864	13.12	0.19	12.94
2048	s	67108864	6.62	0.08	6.55
4096	s	67108864	3.37	0.09	3.28
8192	s	67108864	2.15	0.01	2.14
16384	s	67108864	1.33	0.01	1.31
32768	s	67108864	0.58	0.01	0.56
65536	s	67108864	0.44	0.03	0.41
512	-	67108864	2.92	0.12	2.80
1024	-	67108864	1.61	0.08	1.53
2048	-	67108864	0.89	0.06	0.83
4096	-	67108864	0.52	0.03	0.48
8192	-	67108864	0.31	0.00	0.31
16384	-	67108864	0.23	0.05	0.19
32768	-	67108864	0.19	0.00	0.19
65536	-	67108864	0.16	0.03	0.12
512	s	67108864	26.61	0.38	26.23
1024	s	67108864	12.83	0.31	12.52
2048	s	67108864	6.64	0.03	6.61
4096	s	67108864	3.45	0.01	3.44
8192	s	67108864	1.70	0.06	1.64
16384	s	67108864	0.94	0.01	0.92
32768	s	67108864	0.58	0.01	0.56
65536	s	67108864	0.34	0.00	0.34
512	-	67108864	2.84	0.20	2.64
1024	-	67108864	1.61	0.05	1.56
2048	-	67108864	0.91	0.03	0.88
4096	-	67108864	0.52	0.03	0.48
8192	-	67108864	0.34	0.00	0.34
16384	-	67108864	0.20	0.00	0.20
32768	-	67108864	0.19	0.00	0.19
65536	-	67108864	0.17	0.00	0.17
512	s	67108864	25.58	0.33	25.25
1024	s	67108864	13.14	0.09	13.05
2048	s	67108864	6.62	0.08	6.55
4096	s	67108864	3.58	0.08	3.50
8192	s	67108864	1.98	0.03	1.95
16384	s	67108864	1.00	0.01	0.98
32768	s	67108864	0.62	0.03	0.59
65536	s	67108864	0.39	0.03	0.36
512	-	67108864	2.94	0.25	2.69
1024	-	67108864	1.62	0.12	1.50
2048	-	67108864	0.94	0.08	0.86
4096	-	67108864	0.53	0.01	0.52
8192	-	67108864	0.31	0.03	0.28
16384	-	67108864	0.20	0.01	0.19
32768	-	67108864	0.19	0.03	0.16
65536	-	67108864	0.14	0.01	0.12
512	s	67108864	27.83	0.39	27.44
1024	s	67108864	13.78	0.34	13.44
2048	s	67108864	6.36	0.08	6.28
4096	s	67108864	3.48	0.03	3.45
8192	s	67108864	1.84	0.03	1.81
16384	s	67108864	1.01	0.01	1.00
32768	s	67108864	0.58	0.00	0.58
65536	s	67108864	0.33	0.01	0.31
512	-	67108864	2.95	0.17	2.78
1024	-	67108864	1.64	0.12	1.51
2048	-	67108864	0.89	0.03	0.86
4096	-	67108864	0.50	0.03	0.47
8192	-	67108864	0.34	0.00	0.34
16384	-	67108864	0.23	0.00	0.23
32768	-	67108864	0.16	0.00	0.16
65536	-	67108864	0.15	0.01	0.14
512	s	67108864	25.78	0.25	25.53
1024	s	67108864	13.40	0.30	13.11
2048	s	67108864	6.81	0.12	6.69
4096	s	67108864	3.42	0.14	3.28
8192	s	67108864	1.76	0.05	1.72
16384	s	67108864	0.98	0.01	0.97
32768	s	67108864	0.58	0.00	0.58
65536	s	67108864	0.34	0.03	0.31
512	-	67108864	3.00	0.23	2.77
1024	-	67108864	1.56	0.09	1.47
2048	-	67108864	0.91	0.09	0.81
4096	-	67108864	0.52	0.06	0.45
8192	-	67108864	0.34	0.01	0.33
16384	-	67108864	0.23	0.00	0.23
32768	-	67108864	0.17	0.00	0.17
65536	-	67108864	0.11	0.00	0.11
512	s	67108864	25.26	0.47	24.80
1024	s	67108864	13.36	0.23	13.12
2048	s	67108864	6.56	0.09	6.47
4096	s	67108864	3.55	0.05	3.50
8192	s	67108864	1.84	0.05	1.80
16384	s	67108864	1.01	0.01	1.00
32768	s	67108864	0.62	0.01	0.61
65536	s	67108864	0.34	0.00	0.34
512	-	67108864	2.83	0.27	2.56
1024	-	67108864	1.55	0.01	1.53
2048	-	67108864	0.81	0.05	0.77
4096	-	67108864	0.48	0.03	0.45
8192	-	67108864	0.33	0.03	0.30
16384	-	67108864	0.22	0.00	0.22
32768	-	67108864	0.15	0.01	0.14
65536	-	67108864	0.17	0.01	0.16
512	s	67108864	25.25	0.34	24.91
1024	s	67108864	13.34	0.27	13.08
2048	s	67108864	6.78	0.06	6.72
4096	s	67108864	3.50	0.03	3.47
8192	s	67108864	1.92	0.05	1.88
16384	s	67108864	1.09	0.01	1.08
32768	s	67108864	0.61	0.00	0.61
65536	s	67108864	0.34	0.01	0.33
512	-	134217728	6.08	0.41	5.67
1024	-	134217728	3.08	0.25	2.83
2048	-	134217728	1.73	0.12	1.61
4096	-	134217728	0.92	0.03	0.89
8192	-	134217728	0.62	0.03	0.59
16384	-	134217728	0.44	0.00	0.44
32768	-	134217728	0.34	0.00	0.34
65536	-	134217728	0.27	0.03	0.23
512	s	134217728	57.45	1.23	56.22
1024	s	134217728	26.16	0.62	25.53
2048	s	134217728	13.38	0.25	13.12
4096	s	134217728	6.66	0.11	6.55
8192	s	134217728	3.67	0.09	3.58
16384	s	134217728	2.06	0.03	2.03
32768	s	134217728	1.14	0.01	1.12
65536	s	134217728	0.66	0.01	0.64
512	-	134217728	5.73	0.30	5.44
1024	-	134217728	3.09	0.12	2.97
